,sr,irstp,miu_period,egalitarian_discounting,Intratemporal utility GINI 2055,Intratemporal impact GINI 2055,Intratemporal utility GINI 2105,Intratemporal impact GINI 2105,Intratemporal utility GINI 2155,Intratemporal impact GINI 2155,Intratemporal utility GINI 2205,Intratemporal impact GINI 2205,Intratemporal utility GINI 2305,Intratemporal impact GINI 2305,Intertemporal utility GINI,Intertemporal impact GINI
0,0.46971422574929583,0.013704861809761668,29,0,0.3739206253751414,0.5588859658469603,0.28823800375697556,0.5585863298991106,0.23164926046447207,0.5574869347630368,0.201568630607214,0.5708750787094619,0.18420148184242702,0.6205172116867247,0.351677103201512,0.5769284249299161
1,0.4591697391114938,0.0021567423130574213,30,1,0.37378277780859337,0.5588190539743271,0.28810678889973734,0.5584245127613667,0.2316523558009883,0.557177140004911,0.20161817049048503,0.5700912008935219,0.18463101846416752,0.6185352638894523,0.3518833911680401,0.5788403828439077
2,0.3952557026246319,0.012196730672951695,30,1,0.37293103517651127,0.5586475893367867,0.28724571430935675,0.5586546311929316,0.2314200335374876,0.5576716157204383,0.20114660244112303,0.5703933850416151,0.18321020276571698,0.6182448164233538,0.3558756519412059,0.5765256493705023
3,0.10000000000000021,0.0012808820477574834,29,0,0.36800485980653425,0.5582222212629221,0.27971879474793215,0.5596576269088561,0.22945843385514633,0.5603225292796269,0.1980679774575577,0.5729420641434776,0.17393169844851666,0.618508341084863,0.33733262234382466,0.5413568584326045
4,0.10000000000000005,0.009334165890825833,23,0,0.36801351009710664,0.558491206968471,0.27969047428378635,0.5611955791547958,0.22921110820035137,0.562552965755146,0.1973914825160978,0.5787367498208277,0.17137750227055787,0.6310965609170373,0.3400256886416033,0.5215672425676221
5,0.4056654817475732,0.010040200617171141,29,0,0.37307355589217434,0.5587091788744699,0.2873858608917064,0.5588057129446392,0.23142208638341502,0.5579739216571443,0.20110625677854765,0.5711696386609425,0.18283112717912234,0.6202419148934546,0.3559533049151953,0.5746705815603071
6,0.1,0.01287495929290657,20,0,0.36802116380394095,0.5586878315083755,0.27967331538265877,0.5623652482675806,0.22907888346034477,0.5650300892860698,0.1969576894394889,0.584716918479178,0.16976228847904998,0.6356274147221496,0.3415472220599597,0.5088065223803171
7,0.10000000000000003,0.00540807040522392,26,0,0.3680084211074372,0.5583408785318318,0.27970563271737564,0.5603274695616104,0.22931392962191763,0.5607886803052002,0.19771793274383337,0.5747385830214881,0.17266397216177012,0.6245874365348512,0.33863481581487126,0.5323463049896181
8,0.44790673353262667,0.001106915262417822,30,0,0.37363550677215224,0.5587867491751216,0.2879596008872651,0.5584605496945736,0.23161320164598478,0.5572607669334827,0.20153727460026394,0.5701402194033413,0.18438901459737614,0.6184834460262825,0.35272539808353176,0.5784714957075814
9,0.474389345820586,0.008598932495497374,27,1,0.37398319994499984,0.5589798599700191,0.2882864809898831,0.5590091340325628,0.23157754099416133,0.5583386414595941,0.20132106602257813,0.5727975946019305,0.18282113542350614,0.6251524026095305,0.3527221936899829,0.5716511113233733
10,0.10000000000000007,0.0010586922160763404,10,1,0.36812464764152486,0.5602405391788088,0.27965903773848794,0.5732351477297416,0.22794411274576815,0.587415732016979,0.194407572204316,0.6145046324228794,0.16482429195887643,0.6518015575501213,0.3464600059878797,0.4703484210068171
11,0.10000000000000014,0.00885525626654286,30,0,0.3680039071324812,0.5581880360707414,0.27972277701997794,0.5594670977978183,0.2294844645992446,0.5599587206244575,0.19814223364369835,0.5721665751952159,0.17425928197736162,0.6166316920816148,0.33697153115434214,0.5437693747597554
12,0.10000000000000002,0.008264246252850833,25,0,0.36800990973506664,0.5583868941752556,0.2797008098786752,0.5605908538792962,0.2292822996399139,0.5613175285263647,0.19761844471369355,0.5759153465555543,0.17225105288039597,0.6268274035493535,0.339085218198096,0.5289079330227051
13,0.10000000000000002,0.007394873289061931,28,1,0.3680059181308679,0.558258894790915,0.2797146164637404,0.5598632360851082,0.22943064503362293,0.56071817491387,0.1979881147032037,0.5737948559188485,0.17357645160724897,0.6206412075315783,0.3377210836657696,0.5386453773847907
14,0.4783187133399518,0.003727015322566869,27,1,0.37403387664088666,0.5589918336968608,0.28833697958526994,0.5589981849267225,0.23159043409823327,0.5583105283761701,0.20134746472525072,0.5727813385596424,0.18289675100347183,0.6251676457607914,0.3523915633110185,0.571774752751811
15,0.10000000000000002,0.008864610972018938,18,0,0.3680286479580386,0.558856396095139,0.2796611153207769,0.5634003059222988,0.228912918150303,0.5664371331236446,0.1964850407311464,0.5893900770493626,0.1680388229297191,0.6349545221985666,0.3429360858044342,0.4934739907777908
16,0.4989690867643017,0.007547264630127179,26,0,0.3742997289818822,0.5591014054442391,0.28859448062781073,0.5591920953566781,0.231607398332998,0.558675610244616,0.20132363355331662,0.5738470108499356,0.18246403900164168,0.6276621182000518,0.3513220198278577,0.5692884275559605
17,0.10000000000000006,0.008339029726751138,22,1,0.36801570335645684,0.5585506471029089,0.2796849625238859,0.5615450088709186,0.2291708627885987,0.5632806588244145,0.1972612093749143,0.58044762597669,0.17091909636209443,0.6331058006643919,0.34051269325263345,0.5177334892361931
18,0.10000000000000002,0.007588378370289428,13,0,0.36806634557041323,0.559513923135012,0.2796373054059191,0.5677512874631594,0.22837827929493767,0.5751100129955689,0.19496880088476545,0.5995585949124098,0.16553648009305635,0.640964717249196,0.34550928173747225,0.4707835426534644
19,0.10000000000000002,0.004415419239775889,15,1,0.36804642194589626,0.5591964842805367,0.27964392200499594,0.565585420209572,0.22856755643986423,0.5689018024547957,0.19533121251743804,0.5903005302302752,0.16598934916823577,0.6343019559534574,0.3448647751681849,0.4730665628575859
20,0.10000000000000006,0.009097849456121208,16,0,0.3680393062298179,0.559068488281914,0.2796491986961769,0.5647472914193412,0.228728698095431,0.5687041722768387,0.19584694487891147,0.5925564418372216,0.16674854440133458,0.635905004196363,0.34414614512683517,0.4812375819061551
21,0.45742285488122536,0.006526900878098073,29,1,0.37376091300259456,0.5588497697419006,0.2880786789671578,0.5586235206236342,0.23160748567070324,0.5575767596946254,0.20148246173141837,0.5709273321718272,0.1839469332390165,0.6204639420929281,0.3526489236599055,0.5765347429667221
22,0.10000000000000002,0.008446562730755959,14,0,0.36805523855303895,0.5593434467325709,0.27963969455582627,0.5665722665417825,0.2284934331401391,0.5717153876429825,0.19515152834459618,0.5948810523439835,0.16576481895768366,0.637605104871151,0.34518921408180975,0.47174110263484453
23,0.10000000000000009,0.008136249078480975,19,0,0.36802459596629045,0.5587675551148797,0.2796672503780725,0.5628509746485986,0.22902601677324597,0.5660943162562985,0.1967793121014788,0.5874271807035911,0.1689474755426689,0.6356512313751972,0.3421891540339247,0.5017199252245631
24,0.1000000000000001,0.006200263978166191,27,1,0.36800709860725217,0.5582983385174721,0.27971023222550695,0.5600857889922186,0.22940249071725907,0.5611500292084205,0.19790197961351874,0.5747370961421173,0.17319881183215044,0.6228849340155057,0.33813387746274126,0.5356693750121928
25,0.49987211417484506,0.004734723938259316,27,0,0.3743099795699575,0.5590595780853667,0.2886124770252821,0.5589426932735188,0.23165984301560696,0.558159106018075,0.20149012165287933,0.5726952027083022,0.18330554823908743,0.625251141399353,0.3504340120593696,0.5724253529644229
26,0.10000000000000014,0.009396561076239792,17,1,0.36803347971050066,0.5589560121155022,0.2796550329578643,0.5640266114810712,0.22885060412269517,0.5679028874027376,0.19625911465222756,0.5927023350628355,0.16742718845011423,0.6357890465061893,0.3435243619534519,0.487476297412535
27,0.10000000000000014,0.00835047639532084,21,1,0.3680182305355916,0.5586158909038483,0.27967923450710885,0.5619326845818357,0.22912695984607426,0.5641001793521967,0.1971173733575355,0.5824195386102636,0.17044730747616368,0.6350265632351391,0.3410071414029792,0.5138279962208104
28,0.3712129158971891,0.014934702789369366,30,1,0.37259892988140697,0.5585903078534158,0.28689940658905483,0.5587566945442689,0.23132545236224356,0.5578708793216874,0.20096981587444437,0.5705236994683988,0.18264293855525332,0.6181382372943117,0.3568947597944621,0.5754923437466648
29,0.10503774434525522,0.008206066955080013,20,1,0.36812873083365927,0.5586918736267291,0.27994251841164125,0.5623243266073064,0.22913431839582432,0.5649997771838992,0.19701606419020282,0.5847406206068797,0.16988591988071455,0.6357852780093585,0.3433363812104786,0.5103539648281757
30,0.10000000000000009,0.008333561885540287,24,0,0.3680115939560305,0.558436829370091,0.2796957578363046,0.5608790023520835,0.22924813084487053,0.5619024797643108,0.1975100513581604,0.5772383954867503,0.1718218104913736,0.6290013157241219,0.33954967165849087,0.5253029483786765
31,0.4739858406431057,0.008445148078410158,30,0,0.37397495228554456,0.5588629584170199,0.2882984836087933,0.5583801917244743,0.23170282508040682,0.5570692853770689,0.2017228818271982,0.570029220532503,0.18494438167112104,0.6186037735281119,0.3506810314858419,0.5793037763795
32,0.4995308766039704,0.006887442857036009,28,0,0.37430450999230963,0.5590170012570598,0.2886142600027866,0.5587161725769081,0.23170472699368666,0.5576981990984635,0.20163580086789473,0.5716733161532284,0.1840768665857304,0.6228873345135924,0.34970852855352064,0.5752616686268834
33,0.44146003637491604,0.010279742456620385,29,0,0.3735516279257404,0.5588043959112141,0.28786933277469046,0.5586753771170822,0.2315520085998983,0.5576959211958415,0.2013685640081599,0.5709980941233563,0.183610616345715,0.6203950497158526,0.3538014960995736,0.5759972749137457
34,0.15341568502097652,0.006313961708682505,30,1,0.36908651208119164,0.5582337909434603,0.28209008905461996,0.5589986299428937,0.23004217086213813,0.5593617626110368,0.19885930292968504,0.5714856098195156,0.17629539618051088,0.6168263773028404,0.34972704936466265,0.5565181708193199
35,0.49323925411876446,0.01218194975711075,29,0,0.3742232054703881,0.5589583690881216,0.28853979706110644,0.5585220399503169,0.23172708444709844,0.5573195178243582,0.20173003901317763,0.5707801687978777,0.1846785432079823,0.6206196510777316,0.3496031228504101,0.5776372951930746
36,0.4747647046498785,0.006910940242297742,28,0,0.3739869212967115,0.5589396244755196,0.288297366095649,0.5587811402806375,0.23162408402868806,0.5578728762520581,0.20146916119998268,0.5717723237082171,0.18359148153475952,0.6227859866411013,0.35194976547817136,0.5745192364986805
37,0.10358810875059739,0.001961343171818948,17,1,0.36811021464073307,0.558959034784016,0.27984786895596403,0.5639999181201252,0.22888840120321008,0.5678924262005007,0.19629342038079367,0.5927790023653898,0.16748342286033924,0.6358996330890457,0.3448345705346759,0.4885095122286529
38,0.11691180830774085,0.0017139926342377297,19,0,0.3683809105597562,0.5587818897671233,0.28052637843456707,0.5627180132879983,0.2291988023571425,0.5659996061100416,0.1969603577340885,0.5875631372563449,0.1694297016678098,0.6368197295956575,0.34763021047846043,0.5076916619287076
39,0.10000000000000014,0.006331301165940438,7,0,0.36828949948397566,0.561635743475142,0.27956012414300313,0.5846874167843491,0.22748042989912057,0.6044954438942473,0.1938395510435529,0.6299939988288905,0.16407785441827233,0.6633275039809535,0.34742454793211813,0.47408650975143773
40,0.4896383515184897,0.005393444425196929,28,1,0.3741781400089058,0.5589855373157527,0.2884880310999428,0.5587408835920975,0.23167286411381485,0.5577672205971965,0.20156981616816252,0.571712036724264,0.18388462315429657,0.6228468225792839,0.35064280069527165,0.5749723532030588
41,0.2773979564743027,0.0058370805936573894,30,0,0.3712186201468304,0.5584020903359046,0.2853112594444515,0.558080569261215,0.2308271894095568,0.5579811963324177,0.2001077148643481,0.5702396992488967,0.18008544873110538,0.6172610620354654,0.35825892881777455,0.5703042381091719
42,0.10000000000000014,0.006457573116383054,6,1,0.3684175808228981,0.5624367175472794,0.2794621955329445,0.5897198735771221,0.22732269499676697,0.610774194306804,0.19365127001384722,0.6352036071585199,0.16382417609594657,0.6672674964921497,0.34775699716976893,0.4763009650278686
43,0.48642252127214475,0.0012200995501811449,26,1,0.37413930717451166,0.5590615732633891,0.2884343698308087,0.5592234169575319,0.2315675671527615,0.5587631575025666,0.20124222569412334,0.5738967748540411,0.18223487544716585,0.6276155620735385,0.3524761118386697,0.568909293987677
44,0.49751351237404867,0.006742765394480283,30,0,0.37427688145241006,0.5589360424717082,0.2885998112479535,0.5583172725475318,0.23178070530024758,0.5569028563383488,0.20188538890978605,0.5699363047265621,0.1854309591925684,0.618713282259678,0.34854030793463064,0.5799928775471038
45,0.3565935578506815,0.005513642161117346,30,0,0.37239323835798993,0.5585573309745095,0.2866803706063369,0.5588227264055714,0.23126567063209877,0.5579958526103932,0.20085919671114072,0.5706080031586847,0.18228803858373108,0.6180743127211524,0.3573852415774376,0.5748103944356432
46,0.3238020266252706,0.01246313715560501,29,0,0.37192112971985186,0.5585235909359317,0.28613323862030526,0.5579946373902619,0.23100881137595153,0.5579110920875991,0.20038621592262273,0.5707225863371002,0.18071822129829318,0.6194167835221186,0.35873717697465746,0.5709297572894186
47,0.3093868446505379,0.006821680658736965,30,1,0.3717066112732445,0.5584601330867749,0.2858942354446532,0.5578804099824896,0.23097897205591986,0.5576616546205225,0.20037607751191788,0.5699933360859507,0.18089829619902986,0.6173860507563678,0.35833903906559894,0.5724092153615946
48,0.1961453316932471,0.007658744401185301,30,1,0.36987258746461615,0.5582818604454811,0.2834421470776793,0.5586561986879178,0.23036229217027157,0.558865092434876,0.19933729641895592,0.5709978075902794,0.17774803845388354,0.6169680742593995,0.3547014673283185,0.5627441046481977
49,0.4296844922783069,0.006188250616497363,30,0,0.37339485878551,0.5587364042580931,0.2877180012134485,0.5585230222234372,0.23154832000485687,0.5573991633146729,0.20140390342475578,0.5702231966079575,0.18399019840124606,0.6184001418396806,0.3539600908507688,0.5778416834192797
50,0.1847058049414324,0.0028853819645501275,30,1,0.36966820810202505,0.5582679831630724,0.2831133872567958,0.5587451318854383,0.2302835623633721,0.5589968226478463,0.1992154828141324,0.571122075829048,0.17737798607635114,0.6169296368830626,0.35365562590034144,0.5612906211815942
51,0.11291661283029666,0.005948220413407514,30,0,0.36827729819934196,0.5581976494879278,0.28039086015830866,0.5593495847349189,0.22964412233706943,0.559823761837108,0.1983321367135811,0.5719994178039034,0.17477647846478242,0.6166852746983504,0.3410939877180418,0.5476478073685719
52,0.29350618190951694,0.011209285443104722,30,0,0.37146688086865143,0.5584305432007168,0.28561271542772265,0.5579779230644196,0.2309052944173449,0.5578182515619092,0.20024488017558717,0.5701124071285211,0.18050100114104314,0.6173233833260773,0.35837382859591305,0.5714087170185354
